COD_TAB;REST_CLAVE;MEMO_FIJO;MEMO_FIJ1,C,6
T03;40186116;SEMINARIO ANALISIS DE LAS ESTRAT.DEL DISCURS;
T03;40186117;SEMINARIO   *TRADUCCION ITALIANO*;
T03;40186118;SEMINARIO TRADUCCION DE FRANCE;
T03;40186119;SEMINARIO LECTO-COMPRENSION IDIOMA INGLES;
T03;40186120;SEMINARIO DE FILOS. ARGENT. Y LATINOAMERICANA;
T03;40186121;SEMINARIO UBICACION FILOS.SEMIOT.DE KRISTEV;
T03;40186122;SEMINARIO DEL MOV. DE LA HISTORIA;
T03;40186124;SEMINARIO OBJETO ESTETICO Y MUND;
T03;40186126;SEMINARIO EL PENSAMIENTO DE CARNAP;
T03;40186130;SEMINARIO TALLER DE LECTURA FILOSOFICA;
T03;40186132;SEMINARIO EL PENSAMIENTO UTOPICO (INTERDIS.);
T03;40186134;SEMINARIO LA ILUS.LA CONC.DEL SUJ.EN DES.SPI;
T03;40186136;SEMINARIO INTROD.A LA LECT.DE COMTE(INTERDIS);
T03;40186138;SEMINARIO LA NAT.LA REP.PICT.SEGUN GOMBRIC;
T03;40186140;SEMINARIO EL FIN DE LA HISTORIA;
T03;40186142;PSICOLOGIA SOCIAL   (SE DIC. ESC. PSICOLOGIA;
T03;40186144;SEMINARIO LA CRISIS DEL SUJETO;
T03;40186148;SEMINARIO EL PENSAMIENTO DE HILARY PUTNAM;
T03;40186149;PRUEBA DE SUF.IDIOMA FRANCES C.DE LECTO-COMP;
T03;40186150;PRUEBA SUF.IDIOMA INGLES C.DE LECTO-COMPRENS;
T03;40186151;PRUEBA DE SUF.IDIOMA ITALIANO C.DE LECTO-COM;
T03;40186153;SEMINARIO DEL PENSAMIENTO LAT. (DIC EN LETRA;
T03;40186154;CINE Y NARRATIVA (DIC.ESC DE ARTES DTO. CIN;
T03;40186156;HISTORIA DE AMERICA I (DIC. ESCUELA HISTORI;
T03;40186157;SEMINARIO BASES DE LA LIB. EN EL EST. MODERNO;
T03;40186159;SEMINARIO   HILARY PUTNAM I;
T03;40186161;SEMINARIO CUEST. DEL REP. Y SU REP. EN EL ES;
T03;40186163;SEMINARIO PROB. EPIS. DE LA HIST. PENS. ARGE;
T03;40186165;SEMINARIO   CIENCIA Y PSEUDO CIENCI;
T03;40186167;SEMINARIO  SPINOZ;
T03;40186168;SEMINARIO LA MUJER EN LA FILOSOFI;
T03;40186170;SEMINARIO SOBRE LA PROBLEMATICA DEL TIEMPO;
T03;40186171;SEMINARIO LA MUJER SU VOCACION Y SU DESTIN;
T03;40186172;SEMINARIO EL PENS. DE NICHOLAS RESCHER;
T03;40186173;SEMINARIO DE LA HISTORIOGRAFIA GRIEGA ANTIGUA;
T03;40186174;SEMINARIO TALLER DE LECTURA FILOSOFICA;
T03;40186176;SEMINARIO ARTE, PERCEPCION Y REALIDAD;
T03;40186177;TEORIA POLITICA *VALE FIL.POL.II(DIC ESC HIST;
T03;40186178;SEMINARIO  INTENCIONALIDAD;
T03;40186179;SEMINARIO GIORDANO BRUNO Y LA TRAD. HERMETIC;
T03;40186180;SEMINARIO FILOSOFIA DE LA MATEMATICA;
T03;40186181;SEMINARIO FIL.DE LA HISTORIA EN EL SIGLO ;
T03;40186182;SEMINARIO LENG. Y PERC.DE LA FILO.EN SU HIST.;
T03;40186183;"SEMINARIO""ANALISIS DE ARTE E ILUSION""GOMBRICH";
T03;40186184;SEMINARIO:SISTEMA E HISTORIA EN HEGE;
T03;40186185;HIST.DE LA EDAD MEDIA (DIC.ESC.DE HIST.);
T03;40186186;HISTORIA ANTIGUA(DIC.ESC.HIST;
T03;40186187;HERMENEUTICA TEXTO LITERARIO (DIC.ESC.LET.MO;
T03;40186188;SEM.LA CUEST.DE LAS REP.Y SU INC.CULT.POSTMOD;
T03;40186189;"SEMINARIO"" EXPLICACION CIENTIFICA""";
T03;40186190;ENF. HOLISTICOS Y RED. EN LA TEORIA SOCIAL;
T03;40186191;IDEA DE MUNDO HUSSERL,HEIDEGGER,SARTRE,FOUCAU;
T03;40186192;SEMINARIO EL PENSAMIENTO DE QUIN;
T02;40878;PROF.EN FILO;
T03;40878001;INTRODUCCION A LA FILOSOFIA;
T03;40878002;INTRODUCCION A LA LITERATURA;
T03;40878003;PSICOLOGIA FUNDAMENTAL;
T03;40878004;INTRODUCCION A LA HISTORIA;
T03;40878005;HISTORIA DE LA CULTURA;
T03;40878006;HISTORIA DEL ARTE;
T03;40878007;ANTROPOLOGIA FILOSOFICA;
T03;40878008;METODOS DE APRENDIZAJE E INVESTIGACION;
T03;40878011;FILOSOFIA DE LA NATURALEZA;
T03;40878012;LOGICA Y METODOLOGIA;
T03;40878015;LENGUA Y CULTURA LATINA ;
T03;40878016;GNOSEOLOGIA Y METAFISICA;
T03;40878017;FILOSOFIA DE LAS CIENCIAS;
T03;40878018;FILOSOFIA DEL LENGUAJE;
T03;40878019;LENGUA Y CULTURA GRIEGA I;
T03;40878021;LATIN ESPECIALIZADO;
T03;40878023;TEOLOGIA NATURAL;
T03;40878024;ETICA;
T03;40878025;ESTETICA;
T03;40878026;HISTORIA DE LA FILOSOFIA MODERNA;
T03;40878027;SEMINARIO;
T03;40878030;FILOSOFIA POLITICA I;
T03;40878031;HISTORIA DE LA FILOSOFIA;
T03;40878033;SOCIOLOGIA;
T03;40878039;PRUEBA DE CAPACITACION DE IDIOMA INGLES;
T03;40878040;PRUEBA DE CAPACITACION DE IDIOMA FRANCES;
T03;40878041;PEDAGOGIA;
T03;40878042;DIDATICA GENERAL;
T03;40878043;DIDACTICA ESPECIAL;
T03;40878044;ETICA PROFESIONAL;
T03;40878045;METODOLOGIA OBSERV.Y PRACT.DE LA ENSE#ANZ;
T03;40878053;FILOSOFIA DE LA HISTORIA;
T03;40878057;HISTORIA DE LA FILOSOFIA ANTIGUA;
T03;40878058;HISTORIA DE LA FILOSOFIA MEDIEVAL;
T03;40878059;GRIEGO ESPECIAL;
T02;40886;PROFESORADO EN FILOSOFIA;
T03;40886001;INTRODUCCION A LA PROBLEMATICA FILOSOFICA;
T03;40886007;ANTROPOLOGIA FILOSOFICA ;
T03;40886008;SEMINARIO METODOLOGICO;
T03;40886012;LOGICA I;
T03;40886016;METAFISICA I;
T03;40886017;FILOSOFIA DE LAS CIENCIAS;
T03;40886018;FILOSOFIA DEL LENGUAJE ;
T03;40886024;ETICA I;
T03;40886025;ESTETICA;
T03;40886026;FILOSOFIA MODERNA ;
T03;40886030;FILOSOFIA POLITICA ;
T03;40886031;FILOSOFIA CONTEMPORANEA ;
T03;40886041;PEDAGOGIA;
T03;40886043;DIDACTICA ESPECIAL;
T03;40886045;METODODOLOGIA,OBSERV.Y PRACTICA DE LA ENSE�ANZA;
T03;40886057;FILOSOFIA ANTIGUA ;
T03;40886058;FILOSOFIA MEDIEVAL I;
T03;40886060;TEORIA DEL CONOCIMIENTO;
T03;40886061;FILOSOFIA ARGENTINA Y LATINOAMERICANA;
T03;40886078;FILOSOFIA DE LA EDUCACION Y DEONTOLOGIA;
T02;41178;LIC.EN LETRAS CLASICAS;
T03;41178001;INTRODUCCION A LA FILOSOFIA;
T03;41178002;INTRODUCCION A LA LITERATURA;
T03;41178003;PSICOLOGIA FUNDAMENTAL;
T03;41178004;INTRODUCCION A LA HISTORIA;
T03;41178005;HISTORIA DE LA CULTURA;
T03;41178006;HISTORIA DEL ARTE;
T03;41178007;ANTROPOLOGIA FILOSOFICA;
T03;41178008;METODOS DE APRENDIZAJE E INVESTIGACION;
T03;41178011;LENGUA Y CULTURA GRIEGAS I;
T03;41178012;LENGUA Y CULTURA GRIEGAS Il;
T03;41178013;LINGUISTICA CLASICA;
T03;41178015;LENGUA Y CULTURA LATINAS ;
T03;41178016;LENGUA Y CULTURA LATINAS III;
T03;41178017;LENGUA Y CULTURA GRIEGAS III;
T03;41178018;FILOLOGIA LATINA I;
T03;41178019;FILOLOGIA GRIEGA I;
T03;41178020;LENGUA Y CULTURA LATINAS II;
T03;41178021;FILOLOGIA LATINA I;
T03;41178022;FILOLOGIA GRIEGA II;
T03;41178023;LITERATURA LATINA I;
T03;41178024;LITERATURA GRIEGA I;
T03;41178025;SEMINARIO;
T03;41178027;ESTETICA CLASICA Y MEDIEVAL;
T03;41178028;LITERATURA LATINA I;
T03;41178029;LITERATURA GRIEGA II;
T03;41178033;PRUEBA DE SUFICIENCIA DE IDIOMA ALEMAN;
T03;41178035; SEMINARIO FINAL DE ESPECIALIZACION;
T03;41178037; PRUEBA DE SUFICIENCIA DE IDIOMA ITALIANO;
T03;41178039;PRUEBA DE CAPACITACION DE IDIOMA INGLES;
T03;41178040;PRUEBA DE CAPACITACION DE IDIOMA FRANCES;
T03;41178041;PEDAGOGIA;
T03;41178042;DIDACTICA GENERAL;
T03;41178043;DIDACTICA ESPECIAL;
T03;41178044;ETICA PROFESIONAL;
T03;41178045;METODOLOGIA OBSERV.Y PRACT.DE LA ENSE#ANZA;
T02;41186;LICENCIATURA EN LETRAS CLASICAS;
T03;41186001;INTRODUCCION A  LA PROBLEMATICA FILOSOFICA;
T03;41186002;INTRODUCCION A LA LITERATURA;
T03;41186011;LENGUA Y CULTURA GRIEGAS ;
T03;41186012;LENGUA Y CULTURA GRIEGAS Il;
T03;41186013;LINGUISTICA CLASICA;
T03;41186015;LENGUA Y CULTURA LATINAS I;
T03;41186016;LENGUA Y CULTURA LATINAS III;
T03;41186017;LENGUA Y CULTURA GRIEGAS III;
T03;41186018;FILOLOGIA LATINA I;
T03;41186019;FILOLOGIA GRIEGA ;
T03;41186020;LENGUA Y CULTURA LATINAS II;
T03;41186021;FILOLOGIA LATINA II;
T03;41186022;FIL.GRIEGA II;
T03;41186023;HISTORIA DE LA LITERATURA LATINA I;
T03;41186024;HISTORIA DE LA LITERATURA GRIEGA I;
T03;41186027;ESTETICA CLASICA Y MEDIEVA;
T03;41186028;HISTORIA DE LA LITERATURA LATINA II;
T03;41186029;HISTORIA DE LA LITERATURA GRIEGA II;
T03;41186033;PRUEBA DE SUFICIENCIA DE IDIOMA ALEMAN;
T03;41186034;PRUEBA DE SUFICIENCIA DE IDIOMA ITALIANO;
T03;41186039;PRUEBA DE SUFICIENCIA DE IDIOMA INGLES;
T03;41186040;PRUEBA DE SUFICIENCIA DE IDIOMA FRANCES;
T03;41186046;LINGUISTICA GENERAL;
T03;41186047;HISTORIA ANTIGUA (GRECIA Y ROMA);
T03;41186048;METODOLOGIA DEL ESTUDIO LITERARIO ;
T03;41186049;FILOSOFIA ANTIGUA ;
T03;41186050;MITO Y RELIGION EN GRECIA Y ROMA;
T03;41186051;GRAMATICA SUPERIOR CASTELLANA;
T03;41186052;SEMINARIO DE INVESTIGACION FILOLOGICA;
T03;41186053;HISTORIA DE LA LENGUA ESPAÑOLA;
T03;41186054;TRABAJO FINAL DE INVESTIGACION;
T03;41186061;HISTORIA DE LA LENGUA;
T03;41186068;FILOSOFIA ANTIGUA I;
T03;41186076;OPTATIVA I (AREA LETRAS MODERNAS );
T03;41186077;OPTATIVA II (AREA HISTORIA );
T03;41186078;OPTATIVA III (AREA FILOSOFIA );
T03;41186079;SEMINARIO ELECTIVO  I;
T03;41186080;SEMINARIO ELECTIVO  Il;
T03;41186102;CURSO DE NIVELACION (LETRAS CLASICAS);
T03;41186104;SEMINARIO DE TRADUCCION DE INGLES;
T02;41878;PROFESOR EN LETRAS CLASICAS;
T03;41878001;INTRODUCCION A LA FILOSOFIA;
T03;41878002;INTRODUCCION A LA LITERATURA;
T03;41878003;PSICOLOGIA FUNDAMENTAL;
T03;41878004;INTRODUCCION A LA HISTORIA;
T03;41878005;HISTORIA DE LA CULTURA;
T03;41878006;HISTORIA DEL ARTE;
T03;41878007;ANTROPOLOGIA FILOSOFICA;
T03;41878008;METODOS DE APRENDIZAJE E INVESTIGACION;
T03;41878011;LENGUA Y CULTURA GRIEGAS ;
T03;41878012;LENGUA Y CULTURA GRIEGAS II;
T03;41878013;LINGUISTICA CLASICA;
T03;41878015;LENGUA Y CULTURA LATINAS ;
T03;41878016;LENGUA Y CULTURA LATINAS III;
T03;41878017;LENGUA Y CULTURA GRIEGA III;
T03;41878018;FILOLOGIA LATINA I;
T03;41878019;FILOLOGIA GRIEGA I;
T03;41878020;LENGUA Y CULTURA LATINAS II;
T03;41878021;FILOLOGIA LATINA II;
T03;41878022;FILOLOGIA GRIEGA II;
T03;41878023;LITERATURA LATINA I;
T03;41878024;LITERATURA GRIEGA ;
T03;41878025;SEMINARIO;
T03;41878027;ESTETICA CLASICA Y MEDIEVAL;
T03;41878028;LITERATURA LATINA II;
T03;41878029;LITERATURA GRIEGA II;
T03;41878039;PRUEBA DE CAPACITACION DE IDIOMA INGLES;
T03;41878040;PRUEBA DE CAPACITACION DE IDIOMA FRANCES;
T03;41878041;PEDAGOGIA;
T03;41878042;DIDACTICA GENERAL;
T03;41878043;DIDATICA ESPECIAL;
T03;41878044;ETICA PROFESIONAL;
T03;41878045;METODOLOGIA OBSERV.Y PRACT.DE LA ENSEÑANZA;
T02;41886;PROFESOR EN LETRAS CLASICAS;
T03;41886002;INTRODUCCION A LA LITERATURA;
T03;41886011;LENGUA Y CULTURA GRIEGAS I;
T03;41886012;LENGUA Y CULTURA GRIEGAS II;
T03;41886013;LINGUISTICA CLASICA;
T03;41886015;LENGUA Y CULTURA LATINA I;
T03;41886016;LENGUA Y CULTURA LATINAS III;
T03;41886017;LENGUA Y CULTURA GRIEGAS III;
T03;41886018;FILOLOGIA LATINA I;
T03;41886019;FILOLOGIA GRIEGA I;
T03;41886020;LENGUA Y CULTURA LATINAS II;
T03;41886023;HISTORIA DE LA LITERATURA LATINA I;
T03;41886024;HISTORIA DE LA LITERATURA GRIEGA I;
T03;41886027;ESTETICA CLASICA Y MEDIEVAL;
T03;41886028;HISTORIA DE LA LITERATURA LATINA II;
T03;41886029;HISTORIA DE LA LITERATURA GRIEGA I;
T03;41886033;PRUEBA DE SUFICIENCIA DE IDIOMA ALEMA;
T03;41886034;PRUEBA DE SUFICIENCIA DE IDIOMA ITALIANO;
T03;41886039;PRUEBA DE SUFICIENCIA DE IDIOMA INGLES;
T03;41886040;PRUEBA DE SUFICIENCIA DE IDIOMA FRANCES;
T03;41886041;PEDAGOGIA;
T03;41886043;DIDACTICA ESPECIAL;
T03;41886045;METODOLOGIA OBSERVACION Y PRACT.DE LA ENSEÑANZA;
T03;41886046;LINGUISTICA GENERAL;
T03;41886047;HISTORIA ANTIGUA (GRECIA Y ROMA);
T03;41886048;METODOLOGIA DEL ANALISIS LITERARIO;
T03;41886049;FILOSOFIA ANTIGUA ;
T03;41886050;MITO Y RELIGION EN GRECIA Y ROMA;
T03;41886051;GRAMATICA SUPERIOR CASTELLANO;
T03;41886052;SEMINARIO DE INVESTIGACION FILOLOGICA;
T03;41886053;HISTORIA DE LA LENGUA ESPAÑOLA;
T03;41886079;SEMINARIO ELECTIVO I;
T02;42178;LIC. EN LETRAS MODERNAS;
T03;42178001;INTRODUCCION A LA FILOSOFIA;
T03;42178002;INTRODUCCION A LA LITERATURA;
T03;42178003;PSICOLOGIA FUNDAMENTAL;
T03;42178004;INTRODUCCION A LA HISTORIA;
T03;42178005;HISTORIA DE LA CULTURA;
T03;42178006;HISTORIA DEL ARTE;
T03;42178007;ANTROPOLOGIA FILOSOFICA;
T03;42178008;METODOS DE APRENDIZAJE E INVESTIGACION;
T03;42178011;LINGUISTICA GENERAL;
T03;42178012;HISTORIA DE LA LITERATURA ESPAÑOLA I;
T03;42178013;HISTORIA DE LA LITERATURA ARGENTINA I;
T03;42178015;LENGUA Y CULTURA LATINAS I;
T03;42178016;GRAMATICA;
T03;42178017;HISTORIA DE LA LITERATURA ESPAÑOLA II;
T03;42178018;HISTORIA DE LA LITERATURA HISPANO-AMERICANA I;
T03;42178019;HISTORIA DE LA LITERATURA ARGENTINA II;
T03;42178020;LENGUA Y CULTURA LATINAS II;
T03;42178022;HISTORIA DE LA LITERAT.HISPANO AMERICANA II;
T03;42178023;HISTORIA DE LA LENGUA Y DIALECTOL.ESPAÑOLAS;
T03;42178024;LITERATURA FRANCESA;
T03;42178025;LITERATURA ITALIANA;
T03;42178026;SEMINARIO DE METOD. DEL ANALISIS LITERARIO;
T03;42178028;ESTETICA Y CRITICA MODERNA;
T03;42178029;SEMINARIO DE LITERATURA ARGENTINA;
T03;42178030;LITERATURA ALEMANA;
T03;42178031;LITERATURA INGLESA;
T03;42178032;SEMINARIO DE LENGUA Y CULTURA LATINAS;
T03;42178033;PRUEBA DE CAPACITACION DE IDIOMA ALEMAN;
T03;42178034;PRUEBA DE CAPACITACION DE IDIOMA ITALIANO;
T03;42178035;TRABAJO FINAL DE ESPECIALIZACION;
T03;42178039;PRUEBA DE CAPACITACION DE IDIOMA INGLES;
T03;42178040;PRUEBA DE CAPACITACION DE IDIOMA FRANCES;
T03;42178051;HISTORIA DEL PENSAMIENTO ARGENTINO;
T03;42178053;METODOLOGIA DEL ESTUDIO LITERARIO I;
T03;42178054;SEMIOTICA LITERARIA I;
T03;42178055;SEMINARIO DE ANALISIS DE LAS ESTRAT.DEL DISC.;
T03;42178056;TEORIA LITERARIA;
T03;42178057;HERMENEUTICA DEL TEXTO LITERARIO;
T03;42178058;SOCIOLOGIA DE LA OBRA LITERARIA;
T03;42178059;SEMIOTICA LITERARIA II;
T03;42178060;METODOLOGIA DEL ESTUDIO LITERARIO II;
T03;42178061;LITERATURA CLASICA GRIEGA Y LATINA;
T02;42186;LICENCIATURA EN LETRAS MODERNAS;
T03;42186001;INTROD A LA FILOSOFIA;
T03;42186002;INTRODUCCION A LA LITERATURA;
T03;42186003;INTRODUCCION A LA PSICOLOGIA;
T03;42186004;INTROD. A LOS ESTUDIOS HISTORICOS;
T03;42186005;HISTORIA DE LA CULTURA;
T03;42186006;HISTORIA DEL ARTE;
T03;42186007;HISTORIA DEL CINE;
T03;42186011;LINGUISTICA GENERAL;
T03;42186012;LITERATURA ESPAÑOLA I;
T03;42186013;LITERATURA ARGENTINA I;
T03;42186015;LENGUA Y CULTURA LATINAS I;
T03;42186016;GRAMATICA I;
T03;42186017;LITERATURA ESPAÑOLA II;
T03;42186018;LITERATURA HISPANOAMERICANA I;
T03;42186019;LITERATURA ARGENTINA II;
T03;42186020;LENGUA Y CULTURA LATINAS II;
T03;42186022;LITERATURA HISPANOAMERICANA II;
T03;42186024;LITERATURA FRANCESA;
T03;42186025;LITERATURA ITALIANA;
T03;42186028;ESTETICA Y CRITICA LITERARIA MODERNA;
T03;42186029;SEMINARIO DE LITERATURA ARGENTINA;
T03;42186030;LITERATURA ALEMANA;
T03;42186031;LITERATURA DE HABLA INGLESA;
T03;42186032;LITERATURA CLASICA GRIEGA Y LATINA;
T03;42186033;LITERATURA CLASICA GRIEGA Y LATINA;
T03;42186034;PRUEBA DE SUFICIENCIA DE IDIOMA ITALIANO;
T03;42186035;TRABAJO FINAL DE LA LICENCIATURA;
T03;42186039;PRUEBA DE SUFICIENCIA DE IDIOMA INGLES;
T03;42186040;PRUEBA DE SUFICIENCIA DE IDIOMA FRANCES;
T03;42186051;SEMINARIO DEL PENSAMIENTO LATINOAMERICANO;
T03;42186052;METODOS Y TECNICAS DE INVESTIGACION CIENTIFICA;
T03;42186053;METODOLOGIA DEL ESTUDIO LITERARIO I;
T03;42186054;SEMIOTICA LITERARIA I;
T03;42186055;SEMINARIO ANALISIS DE ESTRATEGIAS DEL DISCURSO;
T03;42186056;TEORIA LITERARIA;
T03;42186057;HERMENEUTICA DEL TEXTO LITERARIO;
T03;42186058;SOCIOLOGIA DE LA OBRA LITERARIA;
T03;42186059;SEMIOTICA LITERARIA II;
T03;42186060;METODOLOGIA DEL ESTUDIO LITERARIO II;
T03;42186061;HISTORIA DE LA LENGUA ESPAÑOLA;
T03;42186062;GRAMATICA II;
